pose_id,wrist_dist,ankle_dist,shoulder_dist,hip_dist,l_wrist_hip,r_wrist_hip,l_hand_head,r_hand_head,l_wrist_shoulder,r_wrist_shoulder
0,21.992616653442383,8.851990699768066,16.419038772583008,11.657674789428711,11.019367218017578,23.820556640625,62.4495735168457,63.95023727416992,38.786277770996094,39.2294921875
1,23.599109649658203,12.428868293762207,18.95713996887207,15.348029136657715,11.770954132080078,27.405941009521484,62.53348922729492,65.47093963623047,37.53355407714844,38.24848556518555
2,21.214916229248047,11.651469230651855,14.093916893005371,13.485993385314941,10.580371856689453,24.43653106689453,62.057106018066406,64.59171295166016,38.96216583251953,39.575035095214844
3,22.424985885620117,12.696710586547852,17.24891471862793,13.2886323928833,10.373215675354004,24.238327026367188,62.54144287109375,64.53713989257812,37.93429183959961,39.78315734863281
4,23.539546966552734,12.021188735961914,17.516067504882812,13.879487037658691,11.820059776306152,25.92446517944336,60.53202819824219,65.32276153564453,36.51557159423828,42.015071868896484
5,22.49787139892578,10.702731132507324,16.931495666503906,13.498726844787598,11.916752815246582,25.244720458984375,62.0853271484375,65.693359375,35.701324462890625,41.784873962402344
6,22.08049964904785,11.603279113769531,16.507387161254883,12.90770149230957,10.26844596862793,25.96213722229004,65.50065612792969,62.88912582397461,39.816505432128906,39.44581604003906
7,22.136648178100586,11.467850685119629,17.1795711517334,14.0566987991333,10.530425071716309,26.37252426147461,64.17840576171875,64.88068389892578,39.24843215942383,41.47321701049805
8,23.337324142456055,9.61030101776123,17.102846145629883,14.397844314575195,10.859986305236816,26.29623031616211,62.11994552612305,64.34142303466797,36.91889953613281,39.95038604736328
9,23.647258758544922,8.431838035583496,16.74862289428711,11.799410820007324,14.715426445007324,23.598230361938477,61.204959869384766,63.08350372314453,36.74620819091797,39.649070739746094
10,23.352373123168945,10.427887916564941,15.911419868469238,14.074596405029297,11.599064826965332,24.848894119262695,62.78153991699219,64.91425323486328,37.240482330322266,39.07518005371094
11,21.993803024291992,9.602136611938477,18.84416961669922,14.74837875366211,11.724884033203125,25.685443878173828,60.33693313598633,64.89418029785156,38.38103485107422,41.347591400146484
12,22.56829261779785,11.910006523132324,14.735651969909668,13.109201431274414,11.661789894104004,24.979454040527344,62.58479309082031,63.865234375,38.397300720214844,38.26226043701172
13,23.331825256347656,9.980764389038086,16.64991569519043,13.815555572509766,10.96894359588623,26.265544891357422,63.12747573852539,64.31873321533203,37.527015686035156,39.60195541381836
14,22.73900032043457,9.577399253845215,18.55768394470215,15.277698516845703,14.547511100769043,27.82899284362793,61.008445739746094,64.11103820800781,36.99955368041992,39.543495178222656
15,25.862930297851562,9.424599647521973,17.595273971557617,12.985915184020996,11.539464950561523,25.35194206237793,63.987754821777344,66.39616394042969,39.072689056396484,39.97450637817383
16,22.827518463134766,10.191720008850098,16.991043090820312,13.038922309875488,11.330005645751953,25.32550811767578,61.79082107543945,65.4022445678711,37.62436294555664,40.556766510009766
17,21.034530639648438,10.383444786071777,18.57125473022461,14.396592140197754,13.051827430725098,26.005146026611328,61.51053237915039,65.15116119384766,37.8183479309082,41.269134521484375
18,22.235815048217773,10.776771545410156,17.48484992980957,12.644627571105957,13.183016777038574,26.799898147583008,64.08543395996094,63.618614196777344,38.061279296875,37.73845291137695
19,22.604045867919922,9.409065246582031,16.53741455078125,10.600003242492676,12.765283584594727,24.655723571777344,62.45426940917969,63.93748474121094,36.6717414855957,38.778141021728516
