pose_id,wrist_x,wrist_y,wrist_z,ankle_x,ankle_y,ankle_z,hip_x,hip_y,hip_z
0,20.174407958984375,4.971531391143799,7.207794189453125,5.219390392303467,5.255970001220703,4.846698760986328,9.227542877197266,1.1578426361083984,7.029455184936523
1,21.331214904785156,7.079545497894287,7.195643424987793,5.302412033081055,9.737852096557617,5.615642547607422,10.993263244628906,0.4611274302005768,10.70035171508789
2,19.442018508911133,5.851114273071289,6.151827812194824,3.5251126289367676,8.605770111083984,7.0193328857421875,9.206289291381836,2.739417552947998,9.466354370117188
3,20.337684631347656,6.051232814788818,7.255419731140137,4.983580112457275,9.955379486083984,6.104164123535156,9.114187240600586,2.545896530151367,9.329402923583984
4,20.804248809814453,8.554386138916016,6.936570167541504,6.630185127258301,7.770362854003906,6.338066101074219,9.52467155456543,0.2688814401626587,10.092000961303711
5,20.367311477661133,7.220795631408691,6.259951591491699,4.665497779846191,7.436494827270508,6.122100830078125,9.842039108276367,1.1363403797149658,9.168349266052246
6,20.15917205810547,1.697076678276062,8.847384452819824,7.1311750411987305,7.116687774658203,5.756317138671875,9.477067947387695,0.7276413440704346,8.732954025268555
7,20.351299285888672,4.660810947418213,7.357487678527832,4.653242111206055,7.407861709594727,7.415019989013672,10.538934707641602,0.5072120428085327,9.287860870361328
8,21.289714813232422,6.146613597869873,7.3210554122924805,4.241381645202637,6.532295227050781,5.630069732666016,10.503572463989258,1.2519371509552002,9.767576217651367
9,22.229827880859375,5.37062931060791,6.0153045654296875,4.803983688354492,5.114818572998047,4.675067901611328,9.872279167175293,0.8852648735046387,6.401602268218994
10,21.299779891967773,5.9308037757873535,7.515203475952148,4.989730358123779,6.106983184814453,6.822624206542969,11.290266036987305,0.8893027305603027,8.356632232666016
11,19.843881607055664,7.32314395904541,6.026548385620117,5.501417636871338,5.916065216064453,5.189952850341797,10.534905433654785,1.386036992073059,10.22787094116211
12,20.429244995117188,5.623977184295654,7.768182754516602,5.6909894943237305,7.497262954711914,7.297393798828125,10.953241348266602,0.1939752995967865,7.2000017166137695
13,21.439178466796875,4.967569828033447,7.749772071838379,3.8241562843322754,7.957075119018555,4.655796051025391,10.89622688293457,1.073448896408081,8.425527572631836
14,20.87000274658203,6.119001388549805,6.637994766235352,5.170444011688232,6.0556182861328125,5.321895599365234,10.994803428649902,2.6094231605529785,10.281696319580078
