pose_id,left_elbow_angle,right_elbow_angle,left_knee_angle,right_knee_angle,left_hip_angle,right_hip_angle,left_shoulder_angle,right_shoulder_angle,trunk_angle,neck_angle
0,140.93003845214844,141.63278198242188,96.78626251220703,170.93896484375,149.40557861328125,160.71395874023438,10.502996444702148,18.862380981445312,149.40557861328125,32.7533073425293
1,142.39199829101562,135.6149444580078,91.04308319091797,172.1473388671875,146.5571746826172,169.23001098632812,7.621098041534424,18.28356170654297,146.5571746826172,35.63654708862305
2,148.37411499023438,137.2519989013672,107.83594512939453,154.00086975097656,144.57928466796875,163.25213623046875,11.587553024291992,17.513397216796875,144.57928466796875,28.082902908325195
3,144.96054077148438,140.52471923828125,83.8338394165039,169.312744140625,144.67161560058594,164.48046875,8.003220558166504,21.202651977539062,144.67161560058594,33.81293487548828
4,136.64524841308594,143.58319091796875,93.61665344238281,140.5236053466797,143.96322631835938,163.0800323486328,12.20206069946289,20.330062866210938,143.96322631835938,35.33253479003906
5,150.10305786132812,139.95257568359375,86.62010192871094,132.716552734375,150.49195861816406,164.27737426757812,7.379482746124268,20.132568359375,150.49195861816406,33.82963943481445
6,149.41519165039062,134.35659790039062,78.66279602050781,143.59881591796875,147.24087524414062,164.15451049804688,12.609753608703613,14.147909164428711,147.24087524414062,32.400901794433594
7,135.15892028808594,137.68069458007812,99.75401306152344,167.3590850830078,149.94212341308594,165.79449462890625,9.572427749633789,16.306795120239258,149.94212341308594,35.88751220703125
8,145.21937561035156,138.4176483154297,108.79772186279297,164.20901489257812,145.85244750976562,164.56390380859375,9.332582473754883,19.332422256469727,145.85244750976562,34.567012786865234
9,132.4807891845703,138.24349975585938,93.0347900390625,113.87332153320312,147.8939666748047,160.95541381835938,11.731258392333984,18.20281219482422,147.8939666748047,34.1882209777832
10,135.09210205078125,141.40147399902344,100.60567474365234,153.63943481445312,144.64930725097656,160.38323974609375,13.48784065246582,20.637229919433594,144.64930725097656,29.648818969726562
11,150.73208618164062,135.36460876464844,80.9832534790039,124.56719207763672,141.84120178222656,163.5511474609375,8.192731857299805,16.78203010559082,141.84120178222656,37.88499069213867
12,142.37200927734375,136.67825317382812,95.84319305419922,154.64959716796875,148.8253631591797,163.76309204101562,8.919515609741211,21.083486557006836,148.8253631591797,28.742834091186523
13,142.26998901367188,134.6420135498047,82.34938049316406,163.55523681640625,149.48757934570312,164.17608642578125,4.089404582977295,22.143692016601562,149.48757934570312,32.20675277709961
14,131.32968139648438,133.83468627929688,89.15324401855469,125.68095397949219,144.2474365234375,169.04873657226562,10.047137260437012,17.732717514038086,144.2474365234375,36.42626190185547
15,148.16246032714844,139.4961395263672,77.4851303100586,115.69400024414062,147.13282775878906,162.13568115234375,7.274349212646484,17.562152862548828,147.13282775878906,33.170127868652344
16,144.86634826660156,142.70562744140625,113.49713134765625,144.74171447753906,145.5350799560547,161.85601806640625,9.243968963623047,24.02171516418457,145.5350799560547,32.37434768676758
17,143.80242919921875,131.9414520263672,85.18634033203125,122.71468353271484,147.8417205810547,166.9551239013672,7.515880107879639,13.472456932067871,147.8417205810547,38.08213424682617
18,138.92295837402344,132.31053161621094,104.90953063964844,136.67071533203125,147.56503295898438,166.66981506347656,11.997693061828613,19.77705955505371,147.56503295898438,33.822174072265625
19,134.71817016601562,137.01768493652344,81.26972961425781,143.2714080810547,151.73260498046875,164.34681701660156,9.292991638183594,18.271148681640625,151.73260498046875,33.18253707885742
20,126.45966339111328,131.6088409423828,89.2607650756836,140.8288116455078,146.44296264648438,169.67991638183594,11.716384887695312,15.6024169921875,146.44296264648438,32.538326263427734
21,134.80429077148438,141.8763427734375,103.63542175292969,152.87599182128906,144.55886840820312,165.08493041992188,15.05670166015625,18.671873092651367,144.55886840820312,31.077503204345703
22,146.4249725341797,138.2136993408203,97.40302276611328,144.21121215820312,145.87039184570312,167.80056762695312,6.914719104766846,17.569000244140625,145.87039184570312,35.292144775390625
23,130.95530700683594,136.16455078125,82.81671142578125,141.6173858642578,147.14749145507812,163.9058837890625,8.860068321228027,16.733301162719727,147.14749145507812,33.558143615722656
24,150.6072540283203,137.55828857421875,103.64082336425781,132.10101318359375,148.91448974609375,166.26673889160156,6.407655239105225,18.265819549560547,148.91448974609375,33.669227600097656
25,141.9723663330078,146.802001953125,97.61795806884766,122.19605255126953,147.93408203125,166.89785766601562,7.77266263961792,19.167783737182617,147.93408203125,35.01361083984375
26,138.3230438232422,131.80650329589844,99.7083969116211,168.19065856933594,147.17581176757812,169.00057983398438,12.62980842590332,17.50171661376953,147.17581176757812,33.240257263183594
27,145.93234252929688,134.52304077148438,83.60272979736328,126.33021545410156,144.41864013671875,166.44876098632812,6.725345134735107,16.303804397583008,144.41864013671875,32.141944885253906
28,133.4785919189453,136.25546264648438,81.83486938476562,137.69105529785156,146.8254852294922,164.098388671875,12.793050765991211,18.80038070678711,146.8254852294922,30.931320190429688
29,137.27149963378906,140.89407348632812,88.67715454101562,100.18244171142578,143.57955932617188,164.80770874023438,11.110459327697754,18.852787017822266,143.57955932617188,31.950212478637695
30,140.3169708251953,131.27322387695312,102.89668273925781,147.56846618652344,147.06605529785156,164.35548400878906,9.746789932250977,18.53318214416504,147.06605529785156,33.20172882080078
31,137.6551513671875,129.43060302734375,76.8104248046875,153.36746215820312,148.58560180664062,167.2267303466797,6.695681095123291,16.695350646972656,148.58560180664062,32.82366943359375
32,140.08018493652344,142.00253295898438,96.47479248046875,125.08138275146484,145.2455596923828,166.88682556152344,7.137595176696777,20.54901885986328,145.2455596923828,33.95362854003906
33,143.55287170410156,137.6825714111328,98.0319595336914,151.35194396972656,149.62091064453125,164.2145233154297,13.132162094116211,19.314722061157227,149.62091064453125,33.5814094543457
34,141.4261474609375,143.14845275878906,92.72247314453125,157.91677856445312,147.0558624267578,162.56800842285156,10.005001068115234,22.267454147338867,147.0558624267578,34.31298828125
35,144.0995330810547,136.47433471679688,108.6806869506836,153.16024780273438,146.52947998046875,164.44053649902344,6.028605937957764,16.900083541870117,146.52947998046875,36.30971145629883
36,134.29232788085938,128.59225463867188,107.16677856445312,156.11965942382812,147.28790283203125,164.20970153808594,12.238088607788086,13.110154151916504,147.28790283203125,37.3934326171875
37,138.13357543945312,136.35902404785156,87.26250457763672,159.29141235351562,149.3111572265625,163.10397338867188,11.528544425964355,18.109710693359375,149.3111572265625,32.9218635559082
38,138.01034545898438,134.837158203125,92.37442016601562,136.91029357910156,147.75277709960938,166.31971740722656,11.967474937438965,18.645751953125,147.75277709960938,36.01097106933594
39,136.26951599121094,136.61260986328125,96.73284912109375,148.84268188476562,147.18673706054688,162.95330810546875,11.166147232055664,19.83722686767578,147.18673706054688,35.878543853759766
40,147.79824829101562,139.79119873046875,102.59468078613281,133.19180297851562,144.12586975097656,166.68385314941406,8.702605247497559,18.570846557617188,144.12586975097656,32.33289337158203
